武器种类,时代,成本,移动映射成本损耗/H,交战映射成本损耗/H,编制宽度,组织度,侦查（10阶段）,防御（空军防御不用设计填0即可）,装甲厚度,火控（10阶段）,电子干扰（10阶段）,电子抗性（10阶段）,燃料容量,燃料每轮消耗,对地友伤（10阶段）,对地命中（10阶段）,对地穿甲穿透（10阶段）,对地压制（10阶段）,对空命中（10阶段）,对空伤害（10阶段）,对空装甲穿透（不用设计就是0即可）,对海命中（10阶段）,对海装甲穿透（10阶段）,海洋适应性,平原适应性,城市适应性,丘陵适应性,森林适应性,丛林适应性,山地适应性,沙漠适应性,沼泽适应性,可通行冰面湖泊适应性,酷暑适应性,炎热适应性,温和适应性,严寒适应性,极寒适应性,晴朗适应性,小雨适应性,暴雨适应性,小雪适应性,暴风雪适应性,沙尘暴适应性,大雾适应性,人力占用,速度（km/h）,血量,拦截（10阶段）,隐身（10阶段）,雷达强度（10阶段）,雷达半径(km),声呐强度（10阶段）,飞行距离（km）,飞行高度（10阶段）,对地伤害（10阶段）,对地探测（10阶段）,对海伤害（10阶段）,对潜伤害（10阶段）
海军直升机,冷战,7000,0.002,0.005,2,105.000,0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600=0.0375=0.0300,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,203,2.436,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,24.0000=24.0000=72.0000=120.0000=72.0000=24.0000=24.0000=24.0000=24.0000=24.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,45.0000=45.0000=135.0000=225.0000=135.0000=45.0000=45.0000=45.0000=45.0000=45.0000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,1,450,105.000,12.0000=18.0000=24.0000=30.0000=24.0000=18.0000=12.0000=9.0000=9.0000=9.0000,0=0=0=0=0=0=0=0=0=0,0.2250=0.2625=0.3000=0.3375=0.3750=0.3375=0.3000=0.2625=0.2250=0.1875,40,0.0850=0.0900=0.0950=0.1000=0.0950=0.0900=0.0850=0.0800=0.0750=0.0700,200,1.8000=2.0000=1.8000=1.6000=1.4000=1.2000=1.0000=0.8000=0.6000=0.4000,120.0000=120.0000=360.0000=600.0000=360.0000=120.0000=120.0000=120.0000=120.0000=120.0000,0=0=0=0=0=0=0=0=0=0,45.0000=45.0000=135.0000=225.0000=135.0000=45.0000=45.0000=45.0000=45.0000=45.0000,12.0000=14.0000=16.0000=18.0000=20.0000=18.0000=16.0000=14.0000=12.0000=10.0000
海军直升机,现代,28000,0.002,0.005,2,175.000,0.1375=0.1750=0.2125=0.2500=0.2125=0.1750=0.1375=0.1000=0.0625=0.0500,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,112,1.344,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,40.0000=40.0000=120.0000=200.0000=120.0000=40.0000=40.0000=40.0000=40.0000=40.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,75.0000=75.0000=225.0000=375.0000=225.0000=75.0000=75.0000=75.0000=75.0000=75.0000,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,1,550,175.000,20.0000=30.0000=40.0000=50.0000=40.0000=30.0000=20.0000=15.0000=15.0000=15.0000,0=0=0=0=0=0=0=0=0=0,0.3750=0.4375=0.5000=0.5625=0.6250=0.5625=0.5000=0.4375=0.3750=0.3125,40,0.0850=0.0900=0.0950=0.1000=0.0950=0.0900=0.0850=0.0800=0.0750=0.0700,200,1.8000=2.0000=1.8000=1.6000=1.4000=1.2000=1.0000=0.8000=0.6000=0.4000,200.0000=200.0000=600.0000=1000.0000=600.0000=200.0000=200.0000=200.0000=200.0000=200.0000,0=0=0=0=0=0=0=0=0=0,75.0000=75.0000=225.0000=375.0000=225.0000=75.0000=75.0000=75.0000=75.0000=75.0000,12.0000=14.0000=16.0000=18.0000=20.0000=18.0000=16.0000=14.0000=12.0000=10.0000
战术轰炸机,二战,5000,0.002,0.005,2,70.000,0.0250=0.0400=0.0550=0.0700=0.0850=0.1000=0.0850=0.0700=0.0550=0.0400,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,1,0.012,0.009=0.022=0.058=0.099=0.144=0.18=0.162=0.126=0.081=0.04,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,80.0000=80.0000=160.0000=240.0000=320.0000=400.0000=320.0000=240.0000=160.0000=80.0000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,48.0000=48.0000=96.0000=144.0000=192.0000=240.0000=192.0000=144.0000=96.0000=48.0000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,30.0000=30.0000=60.0000=90.0000=120.0000=150.0000=120.0000=90.0000=60.0000=30.0000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,1,450,70.000,2.4000=2.4000=3.2000=4.8000=6.4000=8.0000=6.4000=4.8000=3.2000=2.4000,0=0=0=0=0=0=0=0=0=0,0.1800=0.2100=0.2400=0.2700=0.3000=0.2700=0.2400=0.2100=0.1800=0.1500,60,0=0=0=0=0=0=0=0=0=0,1000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,160.0000=160.0000=320.0000=480.0000=640.0000=800.0000=640.0000=480.0000=320.0000=160.0000,0=0=0=0=0=0=0=0=0=0,30.0000=30.0000=60.0000=90.0000=120.0000=150.0000=120.0000=90.0000=60.0000=30.0000,0=0=0=0=0=0=0=0=0=0
战术轰炸机,冷战,20000,0.002,0.005,2,105.000,0.0375=0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,58,0.696,0.013=0.031=0.084=0.144=0.209=0.261=0.235=0.183=0.117=0.057,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,120.0000=120.0000=240.0000=360.0000=480.0000=600.0000=480.0000=360.0000=240.0000=120.0000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,72.0000=72.0000=144.0000=216.0000=288.0000=360.0000=288.0000=216.0000=144.0000=72.0000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,45.0000=45.0000=90.0000=135.0000=180.0000=225.0000=180.0000=135.0000=90.0000=45.0000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,1,900,105.000,3.6000=3.6000=4.8000=7.2000=9.6000=12.0000=9.6000=7.2000=4.8000=3.6000,0=0=0=0=0=0=0=0=0=0,0.2700=0.3150=0.3600=0.4050=0.4500=0.4050=0.3600=0.3150=0.2700=0.2250,60,0=0=0=0=0=0=0=0=0=0,1000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,240.0000=240.0000=480.0000=720.0000=960.0000=1200.0000=960.0000=720.0000=480.0000=240.0000,0=0=0=0=0=0=0=0=0=0,45.0000=45.0000=90.0000=135.0000=180.0000=225.0000=180.0000=135.0000=90.0000=45.0000,0=0=0=0=0=0=0=0=0=0
战术轰炸机,现代,80000,0.002,0.005,2,175.000,0.0625=0.1000=0.1375=0.1750=0.2125=0.2500=0.2125=0.1750=0.1375=0.1000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.2000=0.2000=0.2000=0.2000=0.2000=0.2000=0.2000=0.2000=0.2000=0.2000,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,32,0.384,0.018=0.043=0.115=0.198=0.288=0.36=0.324=0.252=0.162=0.079,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,200.0000=200.0000=400.0000=600.0000=800.0000=1000.0000=800.0000=600.0000=400.0000=200.0000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,120.0000=120.0000=240.0000=360.0000=480.0000=600.0000=480.0000=360.0000=240.0000=120.0000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,75.0000=75.0000=150.0000=225.0000=300.0000=375.0000=300.0000=225.0000=150.0000=75.0000,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,1,1200,175.000,6.0000=6.0000=8.0000=12.0000=16.0000=20.0000=16.0000=12.0000=8.0000=6.0000,0=0=0=0=0=0=0=0=0=0,0.4500=0.5250=0.6000=0.6750=0.7500=0.6750=0.6000=0.5250=0.4500=0.3750,60,0=0=0=0=0=0=0=0=0=0,1000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,400.0000=400.0000=800.0000=1200.0000=1600.0000=2000.0000=1600.0000=1200.0000=800.0000=400.0000,0=0=0=0=0=0=0=0=0=0,75.0000=75.0000=150.0000=225.0000=300.0000=375.0000=300.0000=225.0000=150.0000=75.0000,0=0=0=0=0=0=0=0=0=0
战略轰炸机,二战,15000,0.002,0.005,3,105.000,0.0200=0.0200=0.0250=0.0400=0.0550=0.0700=0.0850=0.1000=0.0850=0.0700,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,3,0.036,0.009=0.022=0.058=0.099=0.144=0.18=0.162=0.126=0.081=0.04,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,96.0000=96.0000=120.0000=192.0000=264.0000=336.0000=408.0000=480.0000=408.0000=336.0000,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,36.0000=36.0000=45.0000=72.0000=99.0000=126.0000=153.0000=180.0000=153.0000=126.0000,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,27.0000=27.0000=33.7500=54.0000=74.2500=94.5000=114.7500=135.0000=114.7500=94.5000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,2,400,105.000,1.8000=1.8000=1.8000=1.8000=2.4000=3.6000=4.8000=6.0000=4.8000=3.6000,0=0=0=0=0=0=0=0=0=0,0.2400=0.2800=0.3200=0.3600=0.4000=0.3600=0.3200=0.2800=0.2400=0.2000,100,0=0=0=0=0=0=0=0=0=0,2000,2.4000=3.2000=4.0000=4.8000=5.6000=6.4000=7.2000=8.0000=7.2000=6.4000,600.0000=600.0000=750.0000=1200.0000=1650.0000=2100.0000=2550.0000=3000.0000=2550.0000=2100.0000,0=0=0=0=0=0=0=0=0=0,27.0000=27.0000=33.7500=54.0000=74.2500=94.5000=114.7500=135.0000=114.7500=94.5000,0=0=0=0=0=0=0=0=0=0
战略轰炸机,冷战,80000,0.002,0.005,3,157.500,0.0300=0.0300=0.0375=0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,232,2.784,0.013=0.031=0.084=0.144=0.209=0.261=0.235=0.183=0.117=0.057,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,144.0000=144.0000=180.0000=288.0000=396.0000=504.0000=612.0000=720.0000=612.0000=504.0000,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,54.0000=54.0000=67.5000=108.0000=148.5000=189.0000=229.5000=270.0000=229.5000=189.0000,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,40.5000=40.5000=50.6250=81.0000=111.3750=141.7500=172.1250=202.5000=172.1250=141.7500,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,2,850,157.500,2.7000=2.7000=2.7000=2.7000=3.6000=5.4000=7.2000=9.0000=7.2000=5.4000,0=0=0=0=0=0=0=0=0=0,0.3600=0.4200=0.4800=0.5400=0.6000=0.5400=0.4800=0.4200=0.3600=0.3000,100,0=0=0=0=0=0=0=0=0=0,2000,2.4000=3.2000=4.0000=4.8000=5.6000=6.4000=7.2000=8.0000=7.2000=6.4000,900.0000=900.0000=1125.0000=1800.0000=2475.0000=3150.0000=3825.0000=4500.0000=3825.0000=3150.0000,0=0=0=0=0=0=0=0=0=0,40.5000=40.5000=50.6250=81.0000=111.3750=141.7500=172.1250=202.5000=172.1250=141.7500,0=0=0=0=0=0=0=0=0=0
战略轰炸机,现代,600000,0.002,0.005,3,262.500,0.0500=0.0500=0.0625=0.1000=0.1375=0.1750=0.2125=0.2500=0.2125=0.1750,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,24,0.288,0.018=0.043=0.115=0.198=0.288=0.36=0.324=0.252=0.162=0.079,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,240.0000=240.0000=300.0000=480.0000=660.0000=840.0000=1020.0000=1200.0000=1020.0000=840.0000,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,90.0000=90.0000=112.5000=180.0000=247.5000=315.0000=382.5000=450.0000=382.5000=315.0000,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,67.5000=67.5000=84.3750=135.0000=185.6250=236.2500=286.8750=337.5000=286.8750=236.2500,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,2,1000,262.500,4.5000=4.5000=4.5000=4.5000=6.0000=9.0000=12.0000=15.0000=12.0000=9.0000,0=0=0=0=0=0=0=0=0=0,0.6000=0.7000=0.8000=0.9000=1.0000=0.9000=0.8000=0.7000=0.6000=0.5000,100,0=0=0=0=0=0=0=0=0=0,2000,2.4000=3.2000=4.0000=4.8000=5.6000=6.4000=7.2000=8.0000=7.2000=6.4000,1500.0000=1500.0000=1875.0000=3000.0000=4125.0000=5250.0000=6375.0000=7500.0000=6375.0000=5250.0000,0=0=0=0=0=0=0=0=0=0,67.5000=67.5000=84.3750=135.0000=185.6250=236.2500=286.8750=337.5000=286.8750=236.2500,0=0=0=0=0=0=0=0=0=0
侦察机,二战,2200,0.002,0.005,15,525.000,0.0400=0.0500=0.0800=0.1100=0.1400=0.1700=0.2000=0.1700=0.1400=0.1100,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,44,0.528,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,135.0000=168.7500=270.0000=371.2500=472.5000=573.7500=675.0000=573.7500=472.5000=371.2500,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,12,600,525.000,45.0000=45.0000=45.0000=60.0000=90.0000=120.0000=150.0000=120.0000=90.0000=60.0000,0=0=0=0=0=0=0=0=0=0,0.4800=0.5600=0.6400=0.7200=0.8000=0.7200=0.6400=0.5600=0.4800=0.4000,200,0=0=0=0=0=0=0=0=0=0,1500,2.8000=3.5000=4.2000=4.9000=5.6000=6.3000=7.0000=6.3000=5.6000=4.9000,600.0000=750.0000=1200.0000=1650.0000=2100.0000=2550.0000=3000.0000=2550.0000=2100.0000=1650.0000,0.3500=0.4200=0.4900=0.5600=0.6300=0.7000=0.6300=0.5600=0.4900=0.4200,135.0000=168.7500=270.0000=371.2500=472.5000=573.7500=675.0000=573.7500=472.5000=371.2500,0=0=0=0=0=0=0=0=0=0
侦察机,冷战,30000,0.002,0.005,15,787.500,0.0600=0.0750=0.1200=0.1650=0.2100=0.2550=0.3000=0.2550=0.2100=0.1650,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,87,1.044,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,202.5000=253.1250=405.0000=556.8750=708.7500=860.6250=1012.5000=860.6250=708.7500=556.8750,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,12,2000,787.500,67.5000=67.5000=67.5000=90.0000=135.0000=180.0000=225.0000=180.0000=135.0000=90.0000,0=0=0=0=0=0=0=0=0=0,0.7200=0.8400=0.9600=1.0800=1.2000=1.0800=0.9600=0.8400=0.7200=0.6000,200,0=0=0=0=0=0=0=0=0=0,1500,2.8000=3.5000=4.2000=4.9000=5.6000=6.3000=7.0000=6.3000=5.6000=4.9000,900.0000=1125.0000=1800.0000=2475.0000=3150.0000=3825.0000=4500.0000=3825.0000=3150.0000=2475.0000,0.5250=0.6300=0.7350=0.8400=0.9450=1.0500=0.9450=0.8400=0.7350=0.6300,202.5000=253.1250=405.0000=556.8750=708.7500=860.6250=1012.5000=860.6250=708.7500=556.8750,0=0=0=0=0=0=0=0=0=0
预警机,冷战,100000,0.002,0.005,30,1575.000,0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600=0.0375,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,29,0.348,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,900.0000=1125.0000=2250.0000=3375.0000=4500.0000=3375.0000=2250.0000=1125.0000=900.0000=900.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,5400.0000=6750.0000=13500.0000=20250.0000=27000.0000=20250.0000=13500.0000=6750.0000=5400.0000=5400.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,405.0000=506.2500=1012.5000=1518.7500=2025.0000=1518.7500=1012.5000=506.2500=405.0000=405.0000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,24,800,1575.000,135.0000=180.0000=270.0000=360.0000=450.0000=360.0000=270.0000=180.0000=135.0000=135.0000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,500,3.0000=3.5000=4.0000=4.5000=5.0000=4.5000=4.0000=3.5000=3.0000=2.5000,1800.0000=2250.0000=4500.0000=6750.0000=9000.0000=6750.0000=4500.0000=2250.0000=1800.0000=1800.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,405.0000=506.2500=1012.5000=1518.7500=2025.0000=1518.7500=1012.5000=506.2500=405.0000=405.0000,0=0=0=0=0=0=0=0=0=0
