武器种类,时代,成本,移动映射成本损耗/H,交战映射成本损耗/H,编制宽度,组织度,侦查（10阶段）,防御（10阶段）,装甲厚度,火控（10阶段）,电子干扰（10阶段）,电子抗性（10阶段）,燃料容量,燃料每轮消耗,对地友伤（10阶段）,对地命中（10阶段）,对地穿甲穿透（10阶段）,对地压制（10阶段）,对空命中（10阶段）,对空伤害（10阶段）,对空装甲穿透（不用设计就是0即可）,对海命中（10阶段）,对海装甲穿透（10阶段）,海洋适应性,平原适应性,城市适应性,丘陵适应性,森林适应性,丛林适应性,山地适应性,沙漠适应性,沼泽适应性,可通行冰面湖泊适应性,酷暑适应性,炎热适应性,温和适应性,严寒适应性,极寒适应性,晴朗适应性,小雨适应性,暴雨适应性,小雪适应性,暴风雪适应性,沙尘暴适应性,大雾适应性,人力占用,速度（km/h）,结构值,浮力值,装甲类型,拦截,潜艇隐身（10阶段）,雷达强度（10阶段）,雷达半径(km),声呐强度（10阶段）,核动力能容量,核动力能每轮消耗,船只吨位(万吨),对地伤害（10阶段）,对地探测（10阶段）,轻炮对海伤害（10阶段）,重炮对海伤害（10阶段）,鱼雷对海伤害（10阶段）,导弹对海伤害（10阶段）,对潜伤害（10阶段）
重型巡洋舰,一战,80000,0.002,0.005,12,37.787,0.1800=0.2880=0.3960=0.5040=0.6120=0.7200=0.6120=0.5040=0.3960=0.2880,144.0000=144.0000=158.4000=201.6000=244.8000=288.0000=244.8000=201.6000=158.4000=144.0000,60.0,0.0720=0.0720=0.0720=0.0720=0.0720=0.0720=0.0720=0.0720=0.0720=0.0720,0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120,0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300,18,0.216,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.2600=0.2600=0.2600=0.3900=0.5200=0.6500=0.5200=0.3900=0.2600=0.2600,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,3.434=6.556=9.678=12.8=15.609=14.829=12.8=9.678=6.556=3.434,0=0=0=0=0=0=0=0=0=0,0.2600=0.2600=0.2600=0.3900=0.5200=0.6500=0.5200=0.3900=0.2600=0.2600,43.2000=43.2000=86.4000=129.6000=172.8000=216.0000=172.8000=129.6000=86.4000=43.2000,0.978,0.978,0.918,0.918,0.918,0.918,0.918,0.918,0.668,0.918,0.918,0.918,0.978,0.918,0.668,0.978,0.918,0.668,0.918,0.668,0.668,0.918,16,50,1800.0,122.0,1,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,1,8.6400=8.6400=8.6400=8.6400=8.6400=8.6400=8.6400=8.6400=8.6400=8.6400,0,8.6400=8.6400=17.2800=25.9200=34.5600=43.2000=34.5600=25.9200=17.2800=8.6400,43.2000=43.2000=86.4000=129.6000=172.8000=216.0000=172.8000=129.6000=86.4000=43.2000,25.2000=50.4000=100.8000=151.2000=201.6000=252.0000=201.6000=151.2000=100.8000=50.4000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,25.2000=25.2000=50.4000=75.6000=100.8000=126.0000=100.8000=75.6000=50.4000=25.2000
重型巡洋舰,二战,120000,0.002,0.005,12,41.174,0.3000=0.4800=0.6600=0.8400=1.0200=1.2000=1.0200=0.8400=0.6600=0.4800,240.0000=240.0000=264.0000=336.0000=408.0000=480.0000=408.0000=336.0000=264.0000=240.0000,100.0,0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200,0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,36,0.432,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.2600=0.2600=0.2600=0.3900=0.5200=0.6500=0.5200=0.3900=0.2600=0.2600,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,4.734=9.037=13.34=17.644=21.517=20.441=17.644=13.34=9.037=4.734,0=0=0=0=0=0=0=0=0=0,0.2600=0.2600=0.2600=0.3900=0.5200=0.6500=0.5200=0.3900=0.2600=0.2600,72.0000=72.0000=144.0000=216.0000=288.0000=360.0000=288.0000=216.0000=144.0000=72.0000,0.99,0.99,0.93,0.93,0.93,0.93,0.93,0.93,0.68,0.93,0.93,0.93,0.99,0.93,0.68,0.99,0.93,0.68,0.93,0.68,0.68,0.93,16,60,3000.0,130.8,1,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,1.4,14.4000=14.4000=14.4000=14.4000=14.4000=14.4000=14.4000=14.4000=14.4000=14.4000,0,14.4000=14.4000=28.8000=43.2000=57.6000=72.0000=57.6000=43.2000=28.8000=14.4000,72.0000=72.0000=144.0000=216.0000=288.0000=360.0000=288.0000=216.0000=144.0000=72.0000,42.0000=84.0000=168.0000=252.0000=336.0000=420.0000=336.0000=252.0000=168.0000=84.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,42.0000=42.0000=84.0000=126.0000=168.0000=210.0000=168.0000=126.0000=84.0000=42.0000
导弹巡洋舰,冷战,350000,0.002,0.005,14,47.597,0.4200=0.5250=0.8400=1.1550=1.4700=1.7850=2.1000=1.7850=1.4700=1.1550,420.0000=420.0000=420.0000=462.0000=588.0000=714.0000=840.0000=714.0000=588.0000=462.0000,120.0,0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000,0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,15225,182.7,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3200=0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800=0.3200,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,7.457=14.236=21.015=27.794=33.896=32.201=27.794=21.015=14.236=7.457,0=0=0=0=0=0=0=0=0=0,0.3200=0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800=0.3200,63.0000=78.7500=126.0000=173.2500=220.5000=267.7500=315.0000=267.7500=220.5000=173.2500,1,1,0.952,0.952,0.952,0.952,0.952,0.952,0.702,0.952,0.952,0.952,1,0.952,0.702,1,0.952,0.702,0.952,0.702,0.702,0.952,19,60,6300.0,148.3,1,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,1.8,25.2000=25.2000=25.2000=25.2000=25.2000=25.2000=25.2000=25.2000=25.2000=25.2000,0,25.2000=31.5000=50.4000=69.3000=88.2000=107.1000=126.0000=107.1000=88.2000=69.3000,63.0000=78.7500=126.0000=173.2500=220.5000=267.7500=315.0000=267.7500=220.5000=173.2500,36.7500=91.8750=147.0000=202.1250=257.2500=312.3750=367.5000=312.3750=257.2500=202.1250,472.5000=472.5000=630.0000=866.2500=1102.5000=1338.7500=1575.0000=1338.7500=1102.5000=866.2500,18.3750=22.9688=36.7500=50.5313=64.3125=78.0938=91.8750=78.0938=64.3125=50.5313
导弹巡洋舰,现代,600000,0.002,0.005,14,54.712,0.7000=0.8750=1.4000=1.9250=2.4500=2.9750=3.5000=2.9750=2.4500=1.9250,700.0000=700.0000=700.0000=770.0000=980.0000=1190.0000=1400.0000=1190.0000=980.0000=770.0000,200.0,0.5000=0.5000=0.5000=0.5000=0.5000=0.5000=0.5000=0.5000=0.5000=0.5000,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,36,0.432,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3200=0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800=0.3200,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.022=0.041=0.061=0.08=0.098=0.093=0.08=0.061=0.041=0.022,10.698=20.423=30.148=39.873=48.625=46.194=39.873=30.148=20.423=10.698,0=0=0=0=0=0=0=0=0=0,0.3200=0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800=0.3200,105.0000=131.2500=210.0000=288.7500=367.5000=446.2500=525.0000=446.2500=367.5000=288.7500,1,1,0.98,0.98,0.98,0.98,0.98,0.98,0.73,0.98,0.98,0.98,1,0.98,0.73,1,0.98,0.73,0.98,0.73,0.73,0.98,19,65,10500.0,166.1,1,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,2.2,42.0000=42.0000=42.0000=42.0000=42.0000=42.0000=42.0000=42.0000=42.0000=42.0000,0,42.0000=52.5000=84.0000=115.5000=147.0000=178.5000=210.0000=178.5000=147.0000=115.5000,105.0000=131.2500=210.0000=288.7500=367.5000=446.2500=525.0000=446.2500=367.5000=288.7500,61.2500=153.1250=245.0000=336.8750=428.7500=520.6250=612.5000=520.6250=428.7500=336.8750,787.5000=787.5000=1050.0000=1443.7500=1837.5000=2231.2500=2625.0000=2231.2500=1837.5000=1443.7500,30.6250=38.2812=61.2500=84.2188=107.1875=130.1562=153.1250=130.1562=107.1875=84.2188
战列巡洋舰,一战,180000,0.002,0.005,18,38.562,0.2700=0.4320=0.5940=0.7560=0.9180=1.0800=0.9180=0.7560=0.5940=0.4320,270.0000=270.0000=297.0000=378.0000=459.0000=540.0000=459.0000=378.0000=297.0000=270.0000,120.0,0.0720=0.0720=0.0720=0.0720=0.0720=0.0720=0.0720=0.0720=0.0720=0.0720,0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120,0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300,405,4.86,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.2600=0.2600=0.2600=0.3900=0.5200=0.6500=0.5200=0.3900=0.2600=0.2600,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,3.666=7=10.333=13.666=16.666=15.833=13.666=10.333=7=3.666,0=0=0=0=0=0=0=0=0=0,0.2600=0.2600=0.2600=0.3900=0.5200=0.6500=0.5200=0.3900=0.2600=0.2600,81.0000=81.0000=162.0000=243.0000=324.0000=405.0000=324.0000=243.0000=162.0000=81.0000,0.978,0.978,0.918,0.918,0.918,0.918,0.918,0.918,0.668,0.918,0.918,0.918,0.978,0.918,0.668,0.978,0.918,0.668,0.918,0.668,0.668,0.918,25,45,4320.0,125.7,1,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,2.5,19.4400=19.4400=19.4400=19.4400=19.4400=19.4400=19.4400=19.4400=19.4400=19.4400,0,19.4400=19.4400=38.8800=58.3200=77.7600=97.2000=77.7600=58.3200=38.8800=19.4400,81.0000=81.0000=162.0000=243.0000=324.0000=405.0000=324.0000=243.0000=162.0000=81.0000,30.2400=60.4800=120.9600=181.4400=241.9200=302.4000=241.9200=181.4400=120.9600=60.4800,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,24.1920=24.1920=48.3840=72.5760=96.7680=120.9600=96.7680=72.5760=48.3840=24.1920
战列巡洋舰,二战,250000,0.002,0.005,18,41.876,0.4500=0.7200=0.9900=1.2600=1.5300=1.8000=1.5300=1.2600=0.9900=0.7200,450.0000=450.0000=495.0000=630.0000=765.0000=900.0000=765.0000=630.0000=495.0000=450.0000,200.0,0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200,0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,75,0.9,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.2600=0.2600=0.2600=0.3900=0.5200=0.6500=0.5200=0.3900=0.2600=0.2600,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,5.014=9.573=14.131=18.689=22.792=21.652=18.689=14.131=9.573=5.014,0=0=0=0=0=0=0=0=0=0,0.2600=0.2600=0.2600=0.3900=0.5200=0.6500=0.5200=0.3900=0.2600=0.2600,135.0000=135.0000=270.0000=405.0000=540.0000=675.0000=540.0000=405.0000=270.0000=135.0000,0.99,0.99,0.93,0.93,0.93,0.93,0.93,0.93,0.68,0.93,0.93,0.93,0.99,0.93,0.68,0.99,0.93,0.68,0.93,0.68,0.68,0.93,25,55,7200.0,134.1,1,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,3.5,32.4000=32.4000=32.4000=32.4000=32.4000=32.4000=32.4000=32.4000=32.4000=32.4000,0,32.4000=32.4000=64.8000=97.2000=129.6000=162.0000=129.6000=97.2000=64.8000=32.4000,135.0000=135.0000=270.0000=405.0000=540.0000=675.0000=540.0000=405.0000=270.0000=135.0000,50.4000=100.8000=201.6000=302.4000=403.2000=504.0000=403.2000=302.4000=201.6000=100.8000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,40.3200=40.3200=80.6400=120.9600=161.2800=201.6000=161.2800=120.9600=80.6400=40.3200
战列舰,一战,250000,0.002,0.005,20,38.876,0.3000=0.4800=0.6600=0.8400=1.0200=1.2000=1.0200=0.8400=0.6600=0.4800,360.0000=360.0000=396.0000=504.0000=612.0000=720.0000=612.0000=504.0000=396.0000=360.0000,180.0,0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600,0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120,0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300,5625,67.5,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.2400=0.2400=0.2400=0.3600=0.4800=0.6000=0.4800=0.3600=0.2400=0.2400,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,1.41=2.692=3.974=5.256=6.41=6.09=5.256=3.974=2.692=1.41,0=0=0=0=0=0=0=0=0=0,0.2400=0.2400=0.2400=0.3600=0.4800=0.6000=0.4800=0.3600=0.2400=0.2400,108.0000=108.0000=216.0000=324.0000=432.0000=540.0000=432.0000=324.0000=216.0000=108.0000,0.978,0.978,0.918,0.918,0.918,0.918,0.918,0.918,0.668,0.918,0.918,0.918,0.978,0.918,0.668,0.978,0.918,0.668,0.918,0.668,0.668,0.918,28,35,6000.0,127.1,1,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,3.5,14.4000=14.4000=14.4000=14.4000=14.4000=14.4000=14.4000=14.4000=14.4000=14.4000,0,14.4000=14.4000=28.8000=43.2000=57.6000=72.0000=57.6000=43.2000=28.8000=14.4000,108.0000=108.0000=216.0000=324.0000=432.0000=540.0000=432.0000=324.0000=216.0000=108.0000,21.0000=42.0000=84.0000=126.0000=168.0000=210.0000=168.0000=126.0000=84.0000=42.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,10.5000=10.5000=21.0000=31.5000=42.0000=52.5000=42.0000=31.5000=21.0000=10.5000
战列舰,二战,400000,0.002,0.005,20,42.325,0.5000=0.8000=1.1000=1.4000=1.7000=2.0000=1.7000=1.4000=1.1000=0.8000,600.0000=600.0000=660.0000=840.0000=1020.0000=1200.0000=1020.0000=840.0000=660.0000=600.0000,300.0,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,12,0.144,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.2400=0.2400=0.2400=0.3600=0.4800=0.6000=0.4800=0.3600=0.2400=0.2400,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,1.948=3.718=5.489=7.26=8.853=8.41=7.26=5.489=3.718=1.948,0=0=0=0=0=0=0=0=0=0,0.2400=0.2400=0.2400=0.3600=0.4800=0.6000=0.4800=0.3600=0.2400=0.2400,180.0000=180.0000=360.0000=540.0000=720.0000=900.0000=720.0000=540.0000=360.0000=180.0000,0.99,0.99,0.93,0.93,0.93,0.93,0.93,0.93,0.68,0.93,0.93,0.93,0.99,0.93,0.68,0.99,0.93,0.68,0.93,0.68,0.68,0.93,28,45,10000.0,136.3,1,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,4.5,24.0000=24.0000=24.0000=24.0000=24.0000=24.0000=24.0000=24.0000=24.0000=24.0000,0,24.0000=24.0000=48.0000=72.0000=96.0000=120.0000=96.0000=72.0000=48.0000=24.0000,180.0000=180.0000=360.0000=540.0000=720.0000=900.0000=720.0000=540.0000=360.0000=180.0000,35.0000=70.0000=140.0000=210.0000=280.0000=350.0000=280.0000=210.0000=140.0000=70.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,17.5000=17.5000=35.0000=52.5000=70.0000=87.5000=70.0000=52.5000=35.0000=17.5000
轻型航空母舰,二战,100000,0.002,0.005,15,41,0.3750=0.6000=0.8250=1.0500=1.2750=1.5000=1.2750=1.0500=0.8250=0.6000,150.0000=150.0000=165.0000=210.0000=255.0000=300.0000=255.0000=210.0000=165.0000=150.0000,30.0,0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200,0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,3,0.036,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000=0.2000=0.2000,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,4.664=8.904=13.144=17.384=21.2=20.14=17.384=13.144=8.904=4.664,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000=0.2000=0.2000,13.5000=13.5000=27.0000=40.5000=54.0000=67.5000=54.0000=40.5000=27.0000=13.5000,0.99,0.99,0.93,0.93,0.93,0.93,0.93,0.93,0.68,0.93,0.93,0.93,0.99,0.93,0.68,0.99,0.93,0.68,0.93,0.68,0.68,0.93,21,65,3750.0,13.0,1,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.800,200,0=0=0=0=0=0=0=0=0=0,0,0,1.5,9.0000=9.0000=9.0000=9.0000=9.0000=9.0000=9.0000=9.0000=9.0000=9.0000,0,9.0000=9.0000=18.0000=27.0000=36.0000=45.0000=36.0000=27.0000=18.0000=9.0000,13.5000=13.5000=27.0000=40.5000=54.0000=67.5000=54.0000=40.5000=27.0000=13.5000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,33.7500=45.0000=61.8750=78.7500=95.6250=112.5000=95.6250=78.7500=61.8750=45.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000
轻型航空母舰,冷战,250000,0.002,0.005,15,47.276,0.5625=0.9000=1.2375=1.5750=1.9125=2.2500=1.9125=1.5750=1.2375=0.9000,225.0000=225.0000=247.5000=315.0000=382.5000=450.0000=382.5000=315.0000=247.5000=225.0000,45.0,0.1800=0.1800=0.1800=0.1800=0.1800=0.1800=0.1800=0.1800=0.1800=0.1800,0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,10875,130.5,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000=0.2000=0.2000,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,7.271=13.88=20.49=27.099=33.048=31.396=27.099=20.49=13.88=7.271,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000=0.2000=0.2000,20.2500=20.2500=40.5000=60.7500=81.0000=101.2500=81.0000=60.7500=40.5000=20.2500,1,1,0.952,0.952,0.952,0.952,0.952,0.952,0.702,0.952,0.952,0.952,1,0.952,0.702,1,0.952,0.702,0.952,0.702,0.702,0.952,21,70,5625.0,146.7,1,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,1.200,200,0=0=0=0=0=0=0=0=0=0,0,0,2,13.5000=13.5000=13.5000=13.5000=13.5000=13.5000=13.5000=13.5000=13.5000=13.5000,0,13.5000=13.5000=27.0000=40.5000=54.0000=67.5000=54.0000=40.5000=27.0000=13.5000,20.2500=20.2500=40.5000=60.7500=81.0000=101.2500=81.0000=60.7500=40.5000=20.2500,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,50.6250=67.5000=92.8125=118.1250=143.4375=168.7500=143.4375=118.1250=92.8125=67.5000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000
轻型航空母舰,现代,600000,0.002,0.005,15,54.712,0.9375=1.5000=2.0625=2.6250=3.1875=3.7500=3.1875=2.6250=2.0625=1.5000,375.0000=375.0000=412.5000=525.0000=637.5000=750.0000=637.5000=525.0000=412.5000=375.0000,75.0,0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,36,0.432,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000=0.2000=0.2000,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.022=0.041=0.061=0.08=0.098=0.093=0.08=0.061=0.041=0.022,10.698=20.423=30.148=39.873=48.625=46.194=39.873=30.148=20.423=10.698,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000=0.2000=0.2000,33.7500=33.7500=67.5000=101.2500=135.0000=168.7500=135.0000=101.2500=67.5000=33.7500,1,1,0.98,0.98,0.98,0.98,0.98,0.98,0.73,0.98,0.98,0.98,1,0.98,0.73,1,0.98,0.73,0.98,0.73,0.73,0.98,21,75,9375.0,166.1,1,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,2.000,200,0=0=0=0=0=0=0=0=0=0,0,0,2.4,22.5000=22.5000=22.5000=22.5000=22.5000=22.5000=22.5000=22.5000=22.5000=22.5000,0,22.5000=22.5000=45.0000=67.5000=90.0000=112.5000=90.0000=67.5000=45.0000=22.5000,33.7500=33.7500=67.5000=101.2500=135.0000=168.7500=135.0000=101.2500=67.5000=33.7500,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,84.3750=112.5000=154.6875=196.8750=239.0625=281.2500=239.0625=196.8750=154.6875=112.5000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000
