武器种类,时代,成本,移动映射成本损耗/H,交战映射成本损耗/H,编制宽度,组织度,侦查（10阶段）,防御（空军防御不用设计填0即可）,装甲厚度,火控（10阶段）,电子干扰（10阶段）,电子抗性（10阶段）,燃料容量,燃料每轮消耗,对地友伤（10阶段）,对地命中（10阶段）,对地穿甲穿透（10阶段）,对地压制（10阶段）,对空命中（10阶段）,对空伤害（10阶段）,对空装甲穿透（不用设计就是0即可）,对海命中（10阶段）,对海装甲穿透（10阶段）,海洋适应性,平原适应性,城市适应性,丘陵适应性,森林适应性,丛林适应性,山地适应性,沙漠适应性,沼泽适应性,可通行冰面湖泊适应性,酷暑适应性,炎热适应性,温和适应性,严寒适应性,极寒适应性,晴朗适应性,小雨适应性,暴雨适应性,小雪适应性,暴风雪适应性,沙尘暴适应性,大雾适应性,人力占用,速度（km/h）,血量,拦截（10阶段）,隐身（10阶段）,雷达强度（10阶段）,雷达半径(km),声呐强度（10阶段）,飞行距离（km）,飞行高度（10阶段）,对地伤害（10阶段）,对地探测（10阶段）,对海伤害（10阶段）,对潜伤害（10阶段）
海军直升机,冷战,7000,0.002,0.005,2,105.000,0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600=0.0375=0.0300,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,203,2.436,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,6.0000=6.0000=18.0000=30.0000=18.0000=6.0000=6.0000=6.0000=6.0000=6.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,30.0000=30.0000=90.0000=150.0000=90.0000=30.0000=30.0000=30.0000=30.0000=30.0000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,1,450,120.000,3.0000=4.5000=6.0000=7.5000=6.0000=4.5000=3.0000=2.2500=2.2500=2.2500,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.0850=0.0900=0.0950=0.1000=0.0950=0.0900=0.0850=0.0800=0.0750=0.0700,200,1.8000=2.0000=1.8000=1.6000=1.4000=1.2000=1.0000=0.8000=0.6000=0.4000,30.0000=30.0000=90.0000=150.0000=90.0000=30.0000=30.0000=30.0000=30.0000=30.0000,0=0=0=0=0=0=0=0=0=0,30.0000=30.0000=90.0000=150.0000=90.0000=30.0000=30.0000=30.0000=30.0000=30.0000,12.0000=14.0000=16.0000=18.0000=20.0000=18.0000=16.0000=14.0000=12.0000=10.0000
海军直升机,现代,28000,0.002,0.005,2,175.000,0.1375=0.1750=0.2125=0.2500=0.2125=0.1750=0.1375=0.1000=0.0625=0.0500,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,112,1.344,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,10.0000=10.0000=30.0000=50.0000=30.0000=10.0000=10.0000=10.0000=10.0000=10.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000,50.0000=50.0000=150.0000=250.0000=150.0000=50.0000=50.0000=50.0000=50.0000=50.0000,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,1,550,200.000,5.0000=7.5000=10.0000=12.5000=10.0000=7.5000=5.0000=3.7500=3.7500=3.7500,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.0850=0.0900=0.0950=0.1000=0.0950=0.0900=0.0850=0.0800=0.0750=0.0700,200,1.8000=2.0000=1.8000=1.6000=1.4000=1.2000=1.0000=0.8000=0.6000=0.4000,50.0000=50.0000=150.0000=250.0000=150.0000=50.0000=50.0000=50.0000=50.0000=50.0000,0=0=0=0=0=0=0=0=0=0,50.0000=50.0000=150.0000=250.0000=150.0000=50.0000=50.0000=50.0000=50.0000=50.0000,12.0000=14.0000=16.0000=18.0000=20.0000=18.0000=16.0000=14.0000=12.0000=10.0000
战术轰炸机,二战,5000,0.002,0.005,2,70.000,0.0250=0.0400=0.0550=0.0700=0.0850=0.1000=0.0850=0.0700=0.0550=0.0400,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,1,0.012,0.009=0.022=0.058=0.099=0.144=0.18=0.162=0.126=0.081=0.04,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,20.0000=20.0000=40.0000=60.0000=80.0000=100.0000=80.0000=60.0000=40.0000=20.0000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,2.8000=2.8000=5.6000=8.4000=11.2000=14.0000=11.2000=8.4000=5.6000=2.8000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,20.0000=20.0000=40.0000=60.0000=80.0000=100.0000=80.0000=60.0000=40.0000=20.0000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,1,450,80.000,0.6000=0.6000=0.8000=1.2000=1.6000=2.0000=1.6000=1.2000=0.8000=0.6000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,1000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,40.0000=40.0000=80.0000=120.0000=160.0000=200.0000=160.0000=120.0000=80.0000=40.0000,0=0=0=0=0=0=0=0=0=0,20.0000=20.0000=40.0000=60.0000=80.0000=100.0000=80.0000=60.0000=40.0000=20.0000,0=0=0=0=0=0=0=0=0=0
战术轰炸机,冷战,20000,0.002,0.005,2,105.000,0.0375=0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200=0.1200,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,58,0.696,0.013=0.031=0.084=0.144=0.209=0.261=0.235=0.183=0.117=0.057,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,30.0000=30.0000=60.0000=90.0000=120.0000=150.0000=120.0000=90.0000=60.0000=30.0000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,4.2000=4.2000=8.4000=12.6000=16.8000=21.0000=16.8000=12.6000=8.4000=4.2000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,30.0000=30.0000=60.0000=90.0000=120.0000=150.0000=120.0000=90.0000=60.0000=30.0000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,1,900,120.000,0.9000=0.9000=1.2000=1.8000=2.4000=3.0000=2.4000=1.8000=1.2000=0.9000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,1000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,60.0000=60.0000=120.0000=180.0000=240.0000=300.0000=240.0000=180.0000=120.0000=60.0000,0=0=0=0=0=0=0=0=0=0,30.0000=30.0000=60.0000=90.0000=120.0000=150.0000=120.0000=90.0000=60.0000=30.0000,0=0=0=0=0=0=0=0=0=0
战术轰炸机,现代,80000,0.002,0.005,2,175.000,0.0625=0.1000=0.1375=0.1750=0.2125=0.2500=0.2125=0.1750=0.1375=0.1000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.2000=0.2000=0.2000=0.2000=0.2000=0.2000=0.2000=0.2000=0.2000=0.2000,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,32,0.384,0.018=0.043=0.115=0.198=0.288=0.36=0.324=0.252=0.162=0.079,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,50.0000=50.0000=100.0000=150.0000=200.0000=250.0000=200.0000=150.0000=100.0000=50.0000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,7.0000=7.0000=14.0000=21.0000=28.0000=35.0000=28.0000=21.0000=14.0000=7.0000,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800,50.0000=50.0000=100.0000=150.0000=200.0000=250.0000=200.0000=150.0000=100.0000=50.0000,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,1,1200,200.000,1.5000=1.5000=2.0000=3.0000=4.0000=5.0000=4.0000=3.0000=2.0000=1.5000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,1000,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,100.0000=100.0000=200.0000=300.0000=400.0000=500.0000=400.0000=300.0000=200.0000=100.0000,0=0=0=0=0=0=0=0=0=0,50.0000=50.0000=100.0000=150.0000=200.0000=250.0000=200.0000=150.0000=100.0000=50.0000,0=0=0=0=0=0=0=0=0=0
战略轰炸机,二战,15000,0.002,0.005,3,105.000,0.0200=0.0200=0.0250=0.0400=0.0550=0.0700=0.0850=0.1000=0.0850=0.0700,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,3,0.036,0.009=0.022=0.058=0.099=0.144=0.18=0.162=0.126=0.081=0.04,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,24.0000=24.0000=30.0000=48.0000=66.0000=84.0000=102.0000=120.0000=102.0000=84.0000,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,2.1000=2.1000=2.6250=4.2000=5.7750=7.3500=8.9250=10.5000=8.9250=7.3500,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,18.0000=18.0000=22.5000=36.0000=49.5000=63.0000=76.5000=90.0000=76.5000=63.0000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,2,400,120.000,0.4500=0.4500=0.4500=0.4500=0.6000=0.9000=1.2000=1.5000=1.2000=0.9000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,2000,2.4000=3.2000=4.0000=4.8000=5.6000=6.4000=7.2000=8.0000=7.2000=6.4000,150.0000=150.0000=187.5000=300.0000=412.5000=525.0000=637.5000=750.0000=637.5000=525.0000,0=0=0=0=0=0=0=0=0=0,18.0000=18.0000=22.5000=36.0000=49.5000=63.0000=76.5000=90.0000=76.5000=63.0000,0=0=0=0=0=0=0=0=0=0
战略轰炸机,冷战,80000,0.002,0.005,3,157.500,0.0300=0.0300=0.0375=0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,232,2.784,0.013=0.031=0.084=0.144=0.209=0.261=0.235=0.183=0.117=0.057,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,36.0000=36.0000=45.0000=72.0000=99.0000=126.0000=153.0000=180.0000=153.0000=126.0000,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,3.1500=3.1500=3.9375=6.3000=8.6625=11.0250=13.3875=15.7500=13.3875=11.0250,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,27.0000=27.0000=33.7500=54.0000=74.2500=94.5000=114.7500=135.0000=114.7500=94.5000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,2,850,180.000,0.6750=0.6750=0.6750=0.6750=0.9000=1.3500=1.8000=2.2500=1.8000=1.3500,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,2000,2.4000=3.2000=4.0000=4.8000=5.6000=6.4000=7.2000=8.0000=7.2000=6.4000,225.0000=225.0000=281.2500=450.0000=618.7500=787.5000=956.2500=1125.0000=956.2500=787.5000,0=0=0=0=0=0=0=0=0=0,27.0000=27.0000=33.7500=54.0000=74.2500=94.5000=114.7500=135.0000=114.7500=94.5000,0=0=0=0=0=0=0=0=0=0
战略轰炸机,现代,600000,0.002,0.005,3,262.500,0.0500=0.0500=0.0625=0.1000=0.1375=0.1750=0.2125=0.2500=0.2125=0.1750,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,24,0.288,0.018=0.043=0.115=0.198=0.288=0.36=0.324=0.252=0.162=0.079,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,60.0000=60.0000=75.0000=120.0000=165.0000=210.0000=255.0000=300.0000=255.0000=210.0000,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,5.2500=5.2500=6.5625=10.5000=14.4375=18.3750=22.3125=26.2500=22.3125=18.3750,0=0=0=0=0=0=0=0=0=0,0.2000=0.2000=0.2000=0.2000=0.2000=0.3000=0.4000=0.5000=0.4000=0.3000,45.0000=45.0000=56.2500=90.0000=123.7500=157.5000=191.2500=225.0000=191.2500=157.5000,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,2,1000,300.000,1.1250=1.1250=1.1250=1.1250=1.5000=2.2500=3.0000=3.7500=3.0000=2.2500,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,2000,2.4000=3.2000=4.0000=4.8000=5.6000=6.4000=7.2000=8.0000=7.2000=6.4000,375.0000=375.0000=468.7500=750.0000=1031.2500=1312.5000=1593.7500=1875.0000=1593.7500=1312.5000,0=0=0=0=0=0=0=0=0=0,45.0000=45.0000=56.2500=90.0000=123.7500=157.5000=191.2500=225.0000=191.2500=157.5000,0=0=0=0=0=0=0=0=0=0
侦察机,二战,2200,0.002,0.005,15,525.000,0.0400=0.0500=0.0800=0.1100=0.1400=0.1700=0.2000=0.1700=0.1400=0.1100,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,44,0.528,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,90.0000=112.5000=180.0000=247.5000=315.0000=382.5000=450.0000=382.5000=315.0000=247.5000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,12,600,600.000,11.2500=11.2500=11.2500=15.0000=22.5000=30.0000=37.5000=30.0000=22.5000=15.0000,0=0=0=0=0=0=0=0=0=0,0.4800=0.5600=0.6400=0.7200=0.8000=0.7200=0.6400=0.5600=0.4800=0.4000,200,0=0=0=0=0=0=0=0=0=0,1500,2.8000=3.5000=4.2000=4.9000=5.6000=6.3000=7.0000=6.3000=5.6000=4.9000,150.0000=187.5000=300.0000=412.5000=525.0000=637.5000=750.0000=637.5000=525.0000=412.5000,0.3500=0.4200=0.4900=0.5600=0.6300=0.7000=0.6300=0.5600=0.4900=0.4200,90.0000=112.5000=180.0000=247.5000=315.0000=382.5000=450.0000=382.5000=315.0000=247.5000,0=0=0=0=0=0=0=0=0=0
侦察机,冷战,30000,0.002,0.005,15,787.500,0.0600=0.0750=0.1200=0.1650=0.2100=0.2550=0.3000=0.2550=0.2100=0.1650,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,87,1.044,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000,135.0000=168.7500=270.0000=371.2500=472.5000=573.7500=675.0000=573.7500=472.5000=371.2500,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,12,2000,900.000,16.8750=16.8750=16.8750=22.5000=33.7500=45.0000=56.2500=45.0000=33.7500=22.5000,0=0=0=0=0=0=0=0=0=0,0.7200=0.8400=0.9600=1.0800=1.2000=1.0800=0.9600=0.8400=0.7200=0.6000,200,0=0=0=0=0=0=0=0=0=0,1500,2.8000=3.5000=4.2000=4.9000=5.6000=6.3000=7.0000=6.3000=5.6000=4.9000,225.0000=281.2500=450.0000=618.7500=787.5000=956.2500=1125.0000=956.2500=787.5000=618.7500,0.5250=0.6300=0.7350=0.8400=0.9450=1.0500=0.9450=0.8400=0.7350=0.6300,135.0000=168.7500=270.0000=371.2500=472.5000=573.7500=675.0000=573.7500=472.5000=371.2500,0=0=0=0=0=0=0=0=0=0
预警机,冷战,100000,0.002,0.005,30,1575.000,0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600=0.0375,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,29,0.348,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,225.0000=281.2500=562.5000=843.7500=1125.0000=843.7500=562.5000=281.2500=225.0000=225.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,315.0000=393.7500=787.5000=1181.2500=1575.0000=1181.2500=787.5000=393.7500=315.0000=315.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,270.0000=337.5000=675.0000=1012.5000=1350.0000=1012.5000=675.0000=337.5000=270.0000=270.0000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,24,800,1800.000,33.7500=45.0000=67.5000=90.0000=112.5000=90.0000=67.5000=45.0000=33.7500=33.7500,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,500,3.0000=3.5000=4.0000=4.5000=5.0000=4.5000=4.0000=3.5000=3.0000=2.5000,450.0000=562.5000=1125.0000=1687.5000=2250.0000=1687.5000=1125.0000=562.5000=450.0000=450.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,270.0000=337.5000=675.0000=1012.5000=1350.0000=1012.5000=675.0000=337.5000=270.0000=270.0000,0=0=0=0=0=0=0=0=0=0
预警机,现代,250000,0.002,0.005,30,2625.000,0.1000=0.1375=0.1750=0.2125=0.2500=0.2125=0.1750=0.1375=0.1000=0.0625,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,1,0.012,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,375.0000=468.7500=937.5000=1406.2500=1875.0000=1406.2500=937.5000=468.7500=375.0000=375.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,525.0000=656.2500=1312.5000=1968.7500=2625.0000=1968.7500=1312.5000=656.2500=525.0000=525.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,450.0000=562.5000=1125.0000=1687.5000=2250.0000=1687.5000=1125.0000=562.5000=450.0000=450.0000,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,24,900,3000.000,56.2500=75.0000=112.5000=150.0000=187.5000=150.0000=112.5000=75.0000=56.2500=56.2500,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,500,3.0000=3.5000=4.0000=4.5000=5.0000=4.5000=4.0000=3.5000=3.0000=2.5000,750.0000=937.5000=1875.0000=2812.5000=3750.0000=2812.5000=1875.0000=937.5000=750.0000=750.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,450.0000=562.5000=1125.0000=1687.5000=2250.0000=1687.5000=1125.0000=562.5000=450.0000=450.0000,0=0=0=0=0=0=0=0=0=0
