地区ID,地区_中文,地区_英文,人口_manpower,地区类型,地区建筑槽,本地补给,不可通行,拥有者TAG,拥有者_中文,拥有者_英文,控制者TAG,省份数,省份ID列表,胜利点城市数,胜利点合计,胜利点列表,资源,地区建筑,省份建筑,核心TAG,宣称TAG,其他历史字段,日期历史,来源州文件
11,考纳斯,Kaunas,971940,town,4,10.0,no,LIT,立陶宛,Lithuania,,5,327 6296 6360 9357 9404,2,6,6296:考纳斯(5); 9357:乌克梅尔盖(1),,"{""arms_factory"": 1, ""industrial_complex"": 3, ""infrastructure"": 3}",,LIT,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\11-Kaunas.txt
12,维泽梅,Vidzeme,408500,rural,2,0.0,no,LAT,拉脱维亚,Latvia,,5,3388 9317 9501 10493 11302,1,1,10493:瓦尔米耶拉(1),"{""steel"": 1}","{""air_base"": 3, ""industrial_complex"": 1, ""infrastructure"": 3}",,LAT,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\12-Latvia.txt
13,佩尔努,Pärnu,423070,rural,2,6.0,no,EST,爱沙尼亚,Estonia,,6,83 308 3074 3174 6381 11291,1,1,3174:佩尔努(1),"{""steel"": 2.0}","{""air_base"": 2, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}",,EST,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\13-Estonia.txt
14,布列塔尼,Brittany,2396600,city,6,0.0,no,FRA,波旁法国,Bourbon France,,10,542 3552 3758 6536 6548 6572 9495 9510 9525 11508,3,26,3552:布雷斯特(20); 6536:洛里昂(5); 9495:雷恩(1),,"{""air_base"": 5, ""dockyard"": 5, ""infrastructure"": 3}","{""3552"": {""coastal_bunker"": 1, ""naval_base"": 10, ""naval_headquarters"": {""allowed"": {""has_dlc"": ""No Compromise, No Surrender""}, ""level"": 1}, ""naval_supply_hub"": 1}, ""6536"": {""coastal_bunker"": 1, ""naval_base"": 4}, ""9510"": {""naval_base"": 1}}",FRA;BRI,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""dockyard"": 5}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\14-Brittany.txt
15,诺曼底,Normandy,2332100,city,6,0.0,no,FRA,波旁法国,Bourbon France,,15,485 539 553 3534 3549 3579 6449 6569 6599 9434 9550 9578 11521 11535 11563,4,21,9434:勒阿弗尔(10); 6449:瑟堡(3); 11563:鲁昂(5); 485:迪耶普(3),"{""steel"": 21}","{""air_base"": 6, ""industrial_complex"": 2, ""infrastructure"": 4}","{""485"": {""naval_base"": 1}, ""6449"": {""coastal_bunker"": 1, ""naval_base"": 3}, ""9434"": {""coastal_bunker"": 1, ""naval_base"": 5}}",FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\15-Normandy.txt
16,法兰西岛,Ile de France,7038500,metropolis,10,0.0,no,FRA,波旁法国,Bourbon France,,9,6547 6949 9507 9523 9534 9725 11491 11506 11518,1,50,11506:巴黎(50),,"{""air_base"": 5, ""anti_air_building"": 3, ""arms_factory"": 4, ""industrial_complex"": 4, ""infrastructure"": 4}","{""9523"": {""landmark_eiffel_tower"": {""allowed"": {""has_dlc"": ""Gotterdammerung""}, ""level"": 1}}, ""9534"": {""land_facility"": 1}}",FRA,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 4, ""industrial_complex"": 6}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\16-Ile de France.txt
17,弗朗什-孔泰,Franche-Comte,1517500,city,6,0.0,no,FRA,波旁法国,Bourbon France,,10,521 698 3646 3666 6698 9642 9658 11488 11516 11642,2,10,9642:贝桑松(5); 11516:南锡(5),"{""steel"": 28}","{""air_base"": 5, ""industrial_complex"": 1, ""infrastructure"": 4}",,FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\17-Alcase Lorraine.txt
18,香槟,Champagne,1370800,city,6,0.0,no,FRA,波旁法国,Bourbon France,,12,551 3533 3546 3560 5291 6531 6545 9472 9490 9505 11732 13011,3,11,9490:特鲁瓦(5); 13011:兰斯(5); 3560:色当(1),,"{""air_base"": 10, ""industrial_complex"": 1, ""infrastructure"": 4}",,FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\18-Champagne.txt
19,阿基坦,Aquitaine,1140400,city,6,0.0,no,FRA,波旁法国,Bourbon France,,5,6621 6762 6777 9737 11565,1,20,9737:波尔多(20),"{""aluminium"": 11, ""steel"": 14}","{""air_base"": 3, ""arms_factory"": 1, ""dockyard"": 1, ""infrastructure"": 3}","{""9737"": {""coastal_bunker"": 1, ""naval_base"": 3}}",OCC;FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\19-Aquitaine.txt
20,罗讷,Rhone,2973200,city,6,7.0,no,FRA,波旁法国,Bourbon France,,13,641 3650 3770 6613 6639 6668 6786 9590 9728 9732 11593 11716 11794,1,10,6613:里昂(10),"{""aluminium"": 35, ""steel"": 32}","{""air_base"": 4, ""arms_factory"": 1, ""industrial_complex"": 2, ""infrastructure"": 4}",,OCC;FRA,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 2, ""industrial_complex"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\20-Franche-comte.txt
21,罗讷河口,Bouches-du-Rhône,1670310,city,6,0.0,no,FRA,波旁法国,Bourbon France,,5,958 3762 11834 11849 11875,1,10,11834:马赛(10),"{""aluminium"": 60}","{""air_base"": 10, ""arms_factory"": 1, ""dockyard"": 1, ""fuel_silo"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}","{""11834"": {""coastal_bunker"": 1, ""naval_base"": 3}}",OCC;FRA,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""dockyard"": 2}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\21-Bouches-du-Rhone.txt
22,朗格多克,Languedoc,1691200,town,4,12.0,no,FRA,波旁法国,Bourbon France,,11,752 760 3751 6770 6960 6962 9723 9898 11709 11711 11877,1,1,9898:蒙彼利埃(1),"{""aluminium"": 50, ""steel"": 27}","{""air_base"": 2, ""industrial_complex"": 2, ""infrastructure"": 3}",,OCC;FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\22-Roussillion.txt
23,普瓦图,Poitou,1603100,town,4,0.0,no,FRA,波旁法国,Bourbon France,,10,595 629 655 3659 6657 9597 9631 11582 11596 11600,1,5,6657:拉罗谢尔(5),"{""steel"": 12}","{""industrial_complex"": 1, ""infrastructure"": 3}","{""6657"": {""naval_base"": 3}}",FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\23-Poitou.txt
24,中央大区,Centre,1546300,large_town,5,15.0,no,FRA,波旁法国,Bourbon France,,9,512 3493 3671 6518 6533 6688 9492 11611 11631,2,25,3671:图尔(10); 512:奥尔良(15),,"{""industrial_complex"": 2, ""infrastructure"": 4}",,FRA,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""industrial_complex"": 4}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\24-Centre.txt
25,利穆赞,Limousin,1343700,large_town,5,0.0,no,FRA,波旁法国,Bourbon France,,13,620 625 755 3598 3771 6618 6775 6792 9717 9734 9751 11718 11720,1,5,620:利摩日(5),"{""coal"": 2}","{""infrastructure"": 3}",,OCC;FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\25-Limousin.txt
26,奥弗涅,Auvergne,877800,town,4,6.0,no,FRA,波旁法国,Bourbon France,,11,590 769 3594 3754 6644 6773 6789 9593 9607 9748 11576,1,3,3594:维希(3),"{""coal"": 2}","{""industrial_complex"": 1, ""infrastructure"": 3}",,OCC;FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\26-Bourgogne.txt
27,勃艮第,Bourgogne,1370800,city,6,0.0,no,FRA,波旁法国,Bourbon France,,12,648 667 680 817 3506 3652 3669 3681 9609 9625 9644 11628,1,5,3652:第戎(5),"{""aluminium"": 11}","{""air_base"": 2, ""industrial_complex"": 2, ""infrastructure"": 4}",,FRA,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""industrial_complex"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\27-Champagne2.txt
28,阿尔萨斯-洛林,Alsace-Lorraine,1915600,city,6,14.0,no,FRA,波旁法国,Bourbon France,,8,549 678 1346 3629 6529 9503 9559 11502,3,20,678:米卢斯(5); 9503:斯特拉斯堡(5); 9559:梅斯(10),"{""coal"": 5, ""steel"": 42}","{""air_base"": 5, ""anti_air_building"": 5, ""industrial_complex"": 3, ""infrastructure"": 4}","{""11502"": {""bunker"": 10}, ""3629"": {""bunker"": 10}, ""549"": {""bunker"": 10}, ""6529"": {""bunker"": 10}, ""678"": {""bunker"": 10}, ""9503"": {""bunker"": 10}, ""9559"": {""bunker"": 10}}",FRA,,add_dynamic_modifier,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""industrial_complex"": 4}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\28-Alcase.txt
29,北部-加来海峡,Nord-Pas-de-Calais,2976400,large_city,8,15.0,no,FRA,波旁法国,Bourbon France,,8,575 3476 3536 6504 9500 11483 11548 11606,3,30,575:敦刻尔克(5); 11483:里尔(10); 11548:加来(15),"{""aluminium"": 8, ""coal"": 30, ""steel"": 24}","{""air_base"": 10, ""industrial_complex"": 3, ""infrastructure"": 4}","{""575"": {""naval_base"": 6}}",FRA,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""industrial_complex"": 6}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\29-Pas de Calais.txt
30,卢瓦尔,Loire,1388400,city,6,0.0,no,FRA,波旁法国,Bourbon France,,11,503 527 3495 3509 3523 9478 9867 11463 11465 11613 11616,1,5,11465:南特(5),,"{""air_base"": 2, ""dockyard"": 1, ""industrial_complex"": 1, ""infrastructure"": 4}",,FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\30-Loire.txt
31,南部-比利牛斯,Midi Pyrenees,1825000,city,6,0.0,no,FRA,波旁法国,Bourbon France,,18,929 943 3740 3749 3915 3946 3948 6759 6766 6915 6917 6931 9853 9882 9884 11699 11702 12169,1,5,6766:图卢兹(5),,"{""air_base"": 2, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}",,OCC;FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\31-Midi Pyrenees.txt
32,阿尔卑斯,Alpes,1007500,town,4,9.0,no,FRA,波旁法国,Bourbon France,,6,762 780 3589 3768 6784 11713,1,1,3768:格勒诺布尔(1),"{""aluminium"": 30, ""steel"": 16}","{""infrastructure"": 2}",,OCC;FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\32-Rhone Alpes.txt
33,中南大区,Centre-Sud,636400,town,4,0.0,no,FRA,波旁法国,Bourbon France,,9,651 669 3621 3626 3655 6648 6651 9629 11869,1,1,651:沙托鲁(1),,"{""infrastructure"": 3}",,FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\33-Centre sud.txt
34,瓦隆尼亚,Wallonia,3043170,large_city,8,14.0,no,BEL,利奥波德比利时,Leopoldian Belgium,,4,3516 9536 11519 13081,3,18,3516:那慕尔(5); 11519:列日(10); 9536:沙勒罗瓦(3),"{""coal"": 5, ""steel"": 22}","{""air_base"": 1, ""arms_factory"": 1, ""industrial_complex"": 4, ""infrastructure"": 3}",,BEL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\34-Wallonie.txt
35,布拉班特,Brabant,1449000,city,6,0.0,no,HOL,荷兰王国,Kingdom of Netherlands,,7,480 3262 6496 6500 9431 11456 11562,3,9,3262:布雷达(5); 6496:埃因霍温(3); 11562:马斯特里赫特(1),"{""coal"": 12}","{""industrial_complex"": 5, ""infrastructure"": 3}",,HOL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\35-Gelderland.txt
36,弗里斯兰,Friesland,2364000,city,6,14.0,no,HOL,荷兰王国,Kingdom of Netherlands,,9,6241 6286 6336 8622 9309 9335 9363 9403 11318,4,10,6241:乌得勒支(5); 9363:阿纳姆(1); 9335:格罗宁根(3); 6336:吕伐登(1),,"{""industrial_complex"": 2, ""infrastructure"": 2}","{""6336"": {""naval_base"": 3}}",HOL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\36-Friesland.txt
37,西兰,Sjaelland,1491222,large_city,8,15.0,no,DEN,丹麦王国,Kingdom of Denmark,,5,3260 3305 6287 6393 13261,2,22,6287:哥本哈根(20); 6393:罗斯基勒(2),,"{""air_base"": 6, ""arms_factory"": 2, ""dockyard"": 2, ""industrial_complex"": 3, ""infrastructure"": 3}","{""6287"": {""naval_base"": 8}}",DEN,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {""6287"": {""naval_base"": 8}}, ""state_buildings"": {""air_base"": 6, ""arms_factory"": 2, ""dockyard"": 2, ""fuel_silo"": 1, ""industrial_complex"": 3, ""infrastructure"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\37-Denmark.txt
38,耶夫勒堡,Gävleborg,931955,town,4,0.0,no,SWE,瑞典王国,Kingdom of Sweden,,26,49 125 130 205 3045 3108 3148 6023 6063 6067 6126 9035 9051 9088 9117 9141 9151 9193 11040 11091 11120 11123 11129 11147 11185 11209,2,3,11091:耶夫勒(2); 130:松兹瓦尔(1),,"{""air_base"": 3, ""industrial_complex"": 1, ""infrastructure"": 2}","{""11129"": {""dam"": 1}, ""130"": {""naval_base"": 1}}",SWE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\38-Sweden.txt
39,南蒂罗尔,South Tyrol,298290,town,4,0.0,no,ITA,意大利王国,Kingdom of Italy,,5,656 6675 9630 11598 11615,1,1,11598:博尔扎诺(1),"{""aluminium"": 14}","{""industrial_complex"": 1, ""infrastructure"": 2}",,ITA;LBV,AUS,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\39-South Tyrol.txt
40,阿尔泰边疆区,Altai Krai,2107451,large_town,5,5.0,no,SOV,俄罗斯,Russia,,12,1297 1779 1794 1797 4803 7680 10537 10546 11410 12515 12528 12613,1,1,1794:巴尔瑙尔(1),,"{""industrial_complex"": 1, ""infrastructure"": 1}",,SOV;ALT,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""industrial_complex"": 2}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\40-USSR.txt
41,马德里,Madrid,2064659,city,6,0.0,no,SPR,西班牙帝国,Spanish Empire,,13,858 896 939 977 3794 3845 3938 3986 6914 9767 9800 11820 13224,2,31,3938:马德里(30); 858:托莱多(1),"{""aluminium"": 1.0}","{""air_base"": 6, ""arms_factory"": 2, ""industrial_complex"": 2, ""infrastructure"": 3}",,SPR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\41-Madrid.txt
42,摩泽兰,Moselland,3027739,metropolis,10,0.0,no,GER,德意志帝国,German Empire,,9,563 3423 3558 9575 11435 11470 11494 11531 11547,3,9,11435:比特堡(1); 9575:特里尔(3); 11531:萨尔布吕肯(5),"{""aluminium"": 14, ""coal"": 14, ""steel"": 50}","{""industrial_complex"": 3, ""infrastructure"": 4}",,GER;RHI;PRE,,set_demilitarized_zone,"{""1936.3.7"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [""set_demilitarized_zone""], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}, ""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {""11435"": {""bunker"": 2}, ""11470"": {""bunker"": 2}, ""11531"": {""bunker"": 2}, ""3558"": {""bunker"": 2}, ""563"": {""bunker"": 2}, ""9575"": {""bunker"": 2}}, ""state_buildings"": {""radar_station"": 1, ""synthetic_refinery"": 3}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\42-Rhineland.txt
43,北匈牙利,Northern Hungary,3750752,large_city,8,0.0,no,HUN,匈牙利王国,Kingdom of Hungary,,9,684 716 3713 3731 6716 6751 9660 9690 11520,1,20,9660:布达佩斯(20),"{""aluminium"": 40, ""coal"": 4, ""steel"": 6}","{""air_base"": 4, ""arms_factory"": 4, ""industrial_complex"": 4, ""infrastructure"": 3}",,HUN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\43-Hungary.txt
44,中阿尔巴尼亚,Central Albania,493867,town,4,5.0,no,ALB,阿尔巴尼亚王国,Albanian Kingdom,,7,3448 3884 6900 9875 9914 11767 13255,4,11,9914:地拉那(5); 11767:发罗拉(2); 13255:都拉斯(2); 6900:科尔察(2),"{""aluminium"": 1.0, ""chromium"": 1.0, ""oil"": 4.0}","{""air_base"": 3, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}","{""11767"": {""naval_base"": 4}, ""13255"": {""naval_base"": 2}}",ALB,ITA,,"{""1939.4.12"": {""claims"": [], ""controller"": ""ITA"", ""cores"": [], ""other_keys"": [""remove_claim_by""], ""owner"": ""ITA"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\44-Albania.txt
45,伏伊伏丁那,Vojvodina,838621,town,4,0.0,no,YUG,南斯拉夫,Yugoslavia,,5,619 3617 3623 9608 9621,1,3,619:诺维萨德(3),,"{""infrastructure"": 3}",,YUG;SER,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\45-Yugoslavia.txt
46,蒙特尼亚,Muntenia,3971400,city,6,0.0,no,ROM,罗马尼亚王国,Kingdom of Romania,,14,660 674 818 3636 3639 3663 6658 6677 6695 9617 9651 11603 11619 11636,2,25,9617:布加勒斯特(20); 3663:普洛耶什蒂(5),"{""oil"": 44}","{""air_base"": 3, ""arms_factory"": 3, ""industrial_complex"": 1, ""infrastructure"": 3}",,ROM,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\46-Romania.txt
47,阿提卡,Attica,2312500,city,6,0.0,no,GRE,希腊王国,Kingdom of Greece,,9,863 976 1109 3864 3973 3988 4109 6930 7127,4,27,4109:雅典(20); 3973:拉里萨(3); 7127:哈尔基斯(3); 3988:科林斯(1),"{""aluminium"": 30, ""chromium"": 12, ""steel"": 3, ""tungsten"": 10}","{""air_base"": 4, ""dockyard"": 1, ""industrial_complex"": 3, ""infrastructure"": 2}","{""4109"": {""naval_base"": 9}}",GRE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\47-Greece.txt
48,索非亚,Sofia,1685989,city,6,0.0,no,BUL,保加利亚,Bulgaria,,8,793 935 949 965 3908 3971 9771 11754,2,16,949:索非亚(15); 9771:维丁(1),"{""aluminium"": 2, ""coal"": 1}","{""air_base"": 3, ""industrial_complex"": 6, ""infrastructure"": 3}",,BUL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\48-Bulgaria.txt
49,安卡拉,Ankara,810284,town,4,7.0,no,TUR,土耳其,Turkey,,11,804 909 3907 3951 6808 6908 6925 9806 9901 11747 11784,3,21,11747:安卡拉(15); 804:克勒克卡莱(5); 3951:埃斯基谢希尔(1),"{""chromium"": 11, ""steel"": 28}","{""air_base"": 3, ""arms_factory"": 2, ""industrial_complex"": 2, ""infrastructure"": 2}",,TUR,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\49-Turkey.txt
50,符腾堡,Württemberg,3076854,large_city,8,0.0,no,GER,德意志帝国,German Empire,,12,519 694 3690 6555 6581 6934 9517 9545 9655 11486 11499 13126,2,23,9517:斯图加特(20); 11499:乌尔姆(3),"{""aluminium"": 6}","{""air_base"": 2, ""arms_factory"": 3, ""industrial_complex"": 1, ""infrastructure"": 3}",,GER;WUR,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 8, ""industrial_complex"": 2}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\50-Baden.txt
51,莱茵兰,Rhineland,6144743,megalopolis,12,0.0,no,GER,德意志帝国,German Empire,,9,529 587 3444 3512 3547 6469 6570 9482 9522,2,15,6469:埃森(10); 587:科隆(5),"{""coal"": 60, ""steel"": 35}","{""air_base"": 3, ""arms_factory"": 3, ""industrial_complex"": 4, ""infrastructure"": 4}",,GER;RHI;PRE,,set_demilitarized_zone,"{""1936.3.7"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [""set_demilitarized_zone""], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}, ""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {""3444"": {""bunker"": 2}, ""3547"": {""bunker"": 2}, ""9522"": {""bunker"": 2}}, ""state_buildings"": {""air_base"": 6, ""radar_station"": 1}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\51-Moselland.txt
