"国家分组TAG","国家分组_中文","城市名_中文","城市名_英文","国家ID","国家颜色","国家分组_英文","国家内序号","国家保留城市数","保留原因","同州删除城市","同州原城市数","生效日期","城市省份ID","胜利点","城市人口_原版无独立字段","人口口径","所属地区人口","所属地区ID","所属地区_中文","所属地区_英文","地区类型","地区建筑槽","本地补给","地区省份数","拥有者TAG","拥有者_中文","拥有者_英文","控制者TAG","核心TAG","宣称TAG","省份类型","地形","是否沿海","大陆","大陆ID","省份RGB","地图X","地图高度Y","地图Z","地图旋转","地图缩放","是否补给节点","补给节点等级字段","铁路经过数量","铁路最高等级","地区资源","地区建筑","本省建筑","城市特殊名_中文","城市特殊名_英文","来源州文件"
"ALB","阿尔巴尼亚王国","吉罗卡斯特","Gjirokastër","87","#F4CA5B","Albanian Kingdom","2","3","胜利点最高","","1","base","914","1","","所属地区manpower","262200","805","北伊庇鲁斯","Northern Epirus","pastoral","1","0.0","3","ALB","阿尔巴尼亚王国","Albanian Kingdom","","ALB","GRE;ITA","land","hills","true","europe","1","4,126,35","3120.40","13.20","1325.29","1.57","0.22","no","","0","0","","{""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\805-Northern Epirus.txt"
"ALB","阿尔巴尼亚王国","斯库台","Shkodër","87","#F4CA5B","Albanian Kingdom","3","3","胜利点最高；城市名匹配地区名","","1","base","9780","3","","所属地区manpower","246933","934","斯库台","Shkodër","rural","2","5.0","3","ALB","阿尔巴尼亚王国","Albanian Kingdom","","ALB","ITA","land","hills","true","europe","1","130,27,204","3111.20","9.50","1358.00","1.57","0.20","no","","0","0","{""aluminium"": 1.0, ""chromium"": 1.0, ""coal"": 1}","{""industrial_complex"": 1, ""infrastructure"": 2}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\934-Shkoder.txt"
"ARG","阿根廷","布宜诺斯艾利斯","Buenos Aires","3","#722A82","Argentina","1","21","胜利点最高；城市名匹配地区名；补给节点","","2","base","12364","15","","所属地区manpower","5596366","278","布宜诺斯艾利斯","Buenos Aires","large_city","8","0.0","20","ARG","阿根廷","Argentina","","ARG","","land","urban","true","south_america","3","175,69,52","1879.22","9.70","290.00","1.57","0.40","yes","1","6","1","","{""air_base"": 4, ""arms_factory"": 2, ""dockyard"": 1, ""industrial_complex"": 5, ""infrastructure"": 3}","{""bunker"": 1, ""coastal_bunker"": 1, ""naval_base"": 7}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\278-Argentina.txt"
"ARG","阿根廷","马德普拉塔","Mar del Plata","3","#722A82","Argentina","2","21","用户规则：大国/空旷国家补点","","2","base","7621","2","","所属地区manpower","5596366","278","布宜诺斯艾利斯","Buenos Aires","large_city","8","0.0","20","ARG","阿根廷","Argentina","","ARG","","land","plains","true","south_america","3","91,153,66","1890.22","9.60","241.00","1.57","0.42","yes","1","1","1","","{""air_base"": 4, ""arms_factory"": 2, ""dockyard"": 1, ""industrial_complex"": 5, ""infrastructure"": 3}","{""naval_base"": 2}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\278-Argentina.txt"
"ARG","阿根廷","图库曼","Tucumán","3","#722A82","Argentina","3","21","胜利点最高；城市名匹配地区名；补给节点","","2","base","8216","5","","所属地区manpower","1141311","508","图库曼","Tucumán","town","4","0.0","4","ARG","阿根廷","Argentina","","ARG","","land","mountain","false","south_america","3","94,129,161","1798.40","11.82","448.00","-1.57","0.52","yes","1","2","1","","{""industrial_complex"": 1, ""infrastructure"": 2}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\508-Argentine Northwest.txt"
"ARG","阿根廷","卡塔马卡","Catamarca","3","#722A82","Argentina","4","21","用户规则：大国/空旷国家补点","","2","base","13309","2","","所属地区manpower","1141311","508","图库曼","Tucumán","town","4","0.0","4","ARG","阿根廷","Argentina","","ARG","","land","mountain","false","south_america","3","108,242,155","1787.84","13.24","428.00","-1.57","0.52","no","","0","0","","{""industrial_complex"": 1, ""infrastructure"": 2}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\508-Argentine Northwest.txt"
"ARG","阿根廷","雷西斯滕西亚","Resistencia","3","#722A82","Argentina","5","21","胜利点最高","","1","base","2106","1","","所属地区manpower","704241","509","南查科","Chaco Austral","rural","2","6.0","8","ARG","阿根廷","Argentina","","ARG","","land","forest","false","south_america","3","10,0,175","1865.62","10.40","431.00","1.57","0.82","no","","0","0","{""steel"": 4, ""tungsten"": 30}","{""industrial_complex"": 1, ""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\509-Gran Chaco.txt"
"ARG","阿根廷","巴拉那","Paraná","3","#722A82","Argentina","6","21","胜利点最高","科连特斯(1)","3","base","1449","3","","所属地区manpower","1497169","510","美索不达米亚","Región Mesopotámica","rural","2","0.0","8","ARG","阿根廷","Argentina","","ARG","","land","plains","false","south_america","3","7,12,170","1861.32","9.70","336.00","1.57","0.52","no","","0","0","{""oil"": 2, ""rubber"": 3}","{""industrial_complex"": 1, ""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\510-Mesopotamia.txt"
"ARG","阿根廷","波萨达斯","Posadas","3","#722A82","Argentina","7","21","用户规则：大国/空旷国家补点","","3","base","11007","2","","所属地区manpower","1497169","510","美索不达米亚","Región Mesopotámica","rural","2","0.0","8","ARG","阿根廷","Argentina","","ARG","","land","forest","false","south_america","3","136,177,169","1955.66","10.90","433.50","1.57","0.80","no","","0","0","{""oil"": 2, ""rubber"": 3}","{""industrial_complex"": 1, ""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\510-Mesopotamia.txt"
"ARG","阿根廷","门多萨","Mendoza","3","#722A82","Argentina","8","21","胜利点最高；城市名匹配地区名","","1","base","10964","2","","所属地区manpower","1090274","511","门多萨","Mendoza","rural","2","0.0","5","ARG","阿根廷","Argentina","","ARG","","land","mountain","false","south_america","3","136,84,189","1734.96","16.82","350.00","1.57","0.56","no","","0","0","","{""air_base"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\511-Cuyo.txt"
"ARG","阿根廷","别德马","Viedma","3","#722A82","Argentina","9","21","胜利点最高","","2","base","12321","2","","所属地区manpower","471000","512","里奥内格罗","Río Negro","rural","2","0.0","9","ARG","阿根廷","Argentina","","ARG;WLA","","land","desert","true","south_america","3","175,21,207","1818.52","10.05","209.00","-1.57","0.68","no","","0","0","{""oil"": 3}","{""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\512-Patagonia.txt"
"ARG","阿根廷","内乌肯","Neuquén","3","#722A82","Argentina","10","21","用户规则：大国/空旷国家补点","","2","base","12306","1","","所属地区manpower","471000","512","里奥内格罗","Río Negro","rural","2","0.0","9","ARG","阿根廷","Argentina","","ARG;WLA","","land","mountain","false","south_america","3","175,6,77","1738.90","12.00","229.00","1.57","0.68","no","","0","0","{""oil"": 3}","{""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\512-Patagonia.txt"
"ARG","阿根廷","乌斯怀亚","Ushuaia","3","#722A82","Argentina","11","21","胜利点最高","","1","base","13300","1","","所属地区manpower","80765","953","火地岛","Tierra del Fuego","pastoral","1","0.0","3","ARG","阿根廷","Argentina","","ARG;WLA","CHL","land","hills","true","south_america","3","168,36,56","1757.46","9.70","30.07","-1.57","0.40","no","","0","0","{""oil"": 1}","{""infrastructure"": 0}","{""naval_base"": 1}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\953 - Tierra del Fuego.txt"
"ARG","阿根廷","里奥加耶戈斯","Rio Gallegos","3","#722A82","Argentina","12","21","胜利点最高","","1","base","5173","1","","所属地区manpower","132000","954","圣克鲁斯","Santa Cruz","rural","2","0.0","5","ARG","阿根廷","Argentina","","ARG;WLA","","land","desert","true","south_america","3","52,87,33","1727.10","10.50","82.00","1.57","0.84","no","","0","0","{""coal"": 2, ""oil"": 3}","{""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\954 - Santa Cruz.txt"
"ARG","阿根廷","罗森","Rawson","3","#722A82","Argentina","13","21","胜利点最高","特雷韦林(1)","3","base","10953","3","","所属地区manpower","395040","955","丘布特","Chubut","rural","2","0.0","7","ARG","阿根廷","Argentina","","ARG;WLA","","land","desert","true","south_america","3","136,63,29","1787.92","10.10","152.00","-1.57","0.72","no","","0","0","{""oil"": 4}","{""infrastructure"": 1}","{""naval_base"": 1}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\955 - Chubut.txt"
"ARG","阿根廷","马德林港","Puerto Madryn","3","#722A82","Argentina","14","21","用户规则：大国/空旷国家补点","","3","base","13307","2","","所属地区manpower","395040","955","丘布特","Chubut","rural","2","0.0","7","ARG","阿根廷","Argentina","","ARG;WLA","","land","desert","true","south_america","3","102,198,16","1788.76","10.25","175.00","-1.57","0.48","no","","0","0","{""oil"": 4}","{""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\955 - Chubut.txt"
"ARG","阿根廷","罗萨里奥","Rosario","3","#722A82","Argentina","15","21","胜利点最高；补给节点","","2","base","7500","2","","所属地区manpower","2997169","956","圣菲","Santa Fe","rural","2","0.0","7","ARG","阿根廷","Argentina","","ARG","","land","plains","false","south_america","3","91,33,46","1841.32","9.80","325.00","1.57","0.52","yes","1","3","1","{""oil"": 6}","{""air_base"": 1, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\956 - Santa Fe.txt"
"ARG","阿根廷","圣菲-德拉韦拉克鲁斯","Santa Fe de la Vera Cruz","3","#722A82","Argentina","16","21","用户规则：大国/空旷国家补点","","2","base","5163","1","","所属地区manpower","2997169","956","圣菲","Santa Fe","rural","2","0.0","7","ARG","阿根廷","Argentina","","ARG","","land","plains","false","south_america","3","52,63,58","1838.24","9.80","349.00","1.57","0.54","no","","1","1","{""oil"": 6}","{""air_base"": 1, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\956 - Santa Fe.txt"
"ARG","阿根廷","福莫萨","Formosa","3","#722A82","Argentina","17","21","胜利点最高；城市名匹配地区名","","1","base","12922","1","","所属地区manpower","500000","957","福莫萨","Formosa","pastoral","1","0.0","3","ARG","阿根廷","Argentina","","ARG","BOL;PAR","land","forest","false","south_america","3","178,45,147","1877.08","9.80","452.00","1.57","0.88","no","","0","0","{""steel"": 2, ""tungsten"": 5}","{""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\957 - Formosa.txt"
"ARG","阿根廷","科尔多瓦","Córdoba","3","#722A82","Argentina","18","21","胜利点最高；补给节点","","1","base","12942","2","","所属地区manpower","602403","958","圣路易斯和拉潘帕","San Luis y La Pampa","rural","2","0.0","9","ARG","阿根廷","Argentina","","ARG","","land","mountain","false","south_america","3","178,87,62","1793.78","12.99","352.00","1.57","0.58","yes","1","1","1","","{""infrastructure"": 2}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\958 - San Luis.txt"
"ARG","阿根廷","圣萨尔瓦多-德胡胡伊","San Salvador de Jujuy","3","#722A82","Argentina","19","21","胜利点最高","","2","base","2224","2","","所属地区manpower","781311","959","洛斯安第斯","Los Andes","rural","2","0.0","4","ARG","阿根廷","Argentina","","ARG","BOL","land","mountain","false","south_america","3","10,201,10","1787.28","19.86","498.00","-1.57","0.68","no","","1","1","","{""industrial_complex"": 1, ""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\959 - Los Andes.txt"
"ARG","阿根廷","萨尔塔","Salta","3","#722A82","Argentina","20","21","用户规则：大国/空旷国家补点","","2","base","11001","1","","所属地区manpower","781311","959","洛斯安第斯","Los Andes","rural","2","0.0","4","ARG","阿根廷","Argentina","","ARG","BOL","land","mountain","false","south_america","3","136,165,4","1783.64","19.72","475.00","-1.57","0.60","no","","0","0","","{""industrial_complex"": 1, ""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\959 - Los Andes.txt"
"ARG","阿根廷","圣胡安","San Juan","3","#722A82","Argentina","21","21","胜利点最高","拉里奥哈(1)","2","base","2136","2","","所属地区manpower","881311","960","圣胡安和拉里奥哈","San Juan y La Rioja","rural","2","0.0","4","ARG","阿根廷","Argentina","","ARG","","land","mountain","false","south_america","3","10,30,180","1748.42","13.76","386.00","1.57","0.62","no","","0","0","","{""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\960 - San Juan.txt"
"AST","澳大利亚","堪培拉","Canberra","7","#F58C08","Emu Empire","1","16","胜利点最高；补给节点","","3","base","7859","30","","所属地区manpower","2563100","285","新南威尔士","New South Wales","large_city","8","0.0","42","AST","澳大利亚","Emu Empire","","AST","","land","mountain","false","australia","4","92,165,131","5108.27","12.41","119.00","1.57","0.30","yes","1","1","2","{""coal"": 16}","{""air_base"": 5, ""arms_factory"": 2, ""dockyard"": 2, ""industrial_complex"": 4, ""infrastructure"": 3}","{""bunker"": 1}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\285-Austraila.txt"
"AST","澳大利亚","悉尼","Sydney","7","#F58C08","Emu Empire","2","16","用户规则：大国/空旷国家补点","","3","base","12406","20","","所属地区manpower","2563100","285","新南威尔士","New South Wales","large_city","8","0.0","42","AST","澳大利亚","Emu Empire","","AST","","land","urban","true","australia","4","175,111,222","5133.88","9.70","145.00","-1.57","0.32","yes","1","4","2","{""coal"": 16}","{""air_base"": 5, ""arms_factory"": 2, ""dockyard"": 2, ""industrial_complex"": 4, ""infrastructure"": 3}","{""coastal_bunker"": 2, ""naval_base"": 6}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\285-Austraila.txt"
"AST","澳大利亚","纽卡斯尔","Newcastle","7","#F58C08","Emu Empire","3","16","用户规则：大国/空旷国家补点","","3","base","7520","1","","所属地区manpower","2563100","285","新南威尔士","New South Wales","large_city","8","0.0","42","AST","澳大利亚","Emu Empire","","AST","","land","plains","true","australia","4","91,45,211","5136.85","9.88","161.00","1.57","0.36","no","","1","1","{""coal"": 16}","{""air_base"": 5, ""arms_factory"": 2, ""dockyard"": 2, ""industrial_complex"": 4, ""infrastructure"": 3}","{""coastal_bunker"": 1}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\285-Austraila.txt"
"AST","澳大利亚","墨尔本","Melbourne","7","#F58C08","Emu Empire","4","16","胜利点最高；补给节点","","1","base","7798","20","","所属地区manpower","2219500","517","维多利亚","Victoria","large_city","8","0.0","14","AST","澳大利亚","Emu Empire","","AST","","land","urban","true","australia","4","92,102,156","5050.31","10.10","83.32","-1.57","0.40","yes","1","2","2","{""chromium"": 4.0, ""steel"": 8.0}","{""air_base"": 3, ""arms_factory"": 2, ""industrial_complex"": 5, ""infrastructure"": 3}","{""coastal_bunker"": 1, ""naval_base"": 4}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\517-Victoria.txt"
"AST","澳大利亚","霍巴特","Hobart","7","#F58C08","Emu Empire","5","16","胜利点最高","","1","base","5187","1","","所属地区manpower","224000","518","塔斯马尼亚","Tasmania","small_island","1","0.0","6","AST","澳大利亚","Emu Empire","","AST","","land","mountain","true","australia","4","52,117,38","5076.93","10.55","20.00","1.57","0.34","no","","0","0","","{""infrastructure"": 3}","{""dam"": 1, ""naval_base"": 2}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\518-Tasmania.txt"
"AST","澳大利亚","阿德莱德","Adelaide","7","#F58C08","Emu Empire","6","16","胜利点最高；补给节点","","1","base","12910","15","","所属地区manpower","200800","519","南澳大利亚","South Australia","rural","2","0.0","17","AST","澳大利亚","Emu Empire","","AST","","land","urban","true","australia","4","178,21,22","4966.19","9.90","125.79","-1.57","0.40","yes","1","2","2","","{""infrastructure"": 1}","{""naval_base"": 2}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\519-South Australia.txt"
"AST","澳大利亚","达尔文","Darwin","7","#F58C08","Emu Empire","7","16","胜利点最高；补给节点","","1","base","7669","5","","所属地区manpower","13000","520","北领地","Northern Territory","wasteland","0","0.0","25","AST","澳大利亚","Emu Empire","","AST","","land","forest","true","australia","4","91,204,131","4860.58","10.15","453.00","1.57","0.28","yes","1","1","1","{""steel"": 22.0}","{""air_base"": 1, ""infrastructure"": 2}","{""naval_base"": 1}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\520-Northern Territory.txt"
"AST","澳大利亚","布里斯班","Brisbane","7","#F58C08","Emu Empire","8","16","胜利点最高；补给节点","","2","base","7564","15","","所属地区manpower","816800","521","昆士兰","Queensland","town","4","0.0","31","AST","澳大利亚","Emu Empire","","AST","","land","urban","true","australia","4","91,93,56","5153.93","10.41","241.00","1.57","0.28","yes","1","2","2","{""coal"": 4, ""tungsten"": 24.0}","{""air_base"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}","{""coastal_bunker"": 1, ""naval_base"": 2}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\521-Queensland.txt"
"AST","澳大利亚","汤斯维尔","Townsville","7","#F58C08","Emu Empire","9","16","用户规则：大国/空旷国家补点","","2","base","7566","1","","所属地区manpower","816800","521","昆士兰","Queensland","town","4","0.0","31","AST","澳大利亚","Emu Empire","","AST","","land","mountain","true","australia","4","91,96,21","5064.04","12.61","358.00","1.57","0.44","yes","1","1","2","{""coal"": 4, ""tungsten"": 24.0}","{""air_base"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}","{""naval_base"": 1}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\521-Queensland.txt"
"AST","澳大利亚","珀斯","Perth","7","#F58C08","Emu Empire","10","16","胜利点最高；补给节点","","1","base","1652","10","","所属地区manpower","317200","522","西澳大利亚","Western Australia","rural","2","0.0","20","AST","澳大利亚","Emu Empire","","AST","","land","urban","true","australia","4","7,207,75","4659.56","10.40","173.76","1.57","0.30","yes","1","1","1","","{""air_base"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}","{""coastal_bunker"": 1, ""naval_base"": 1}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\522-Western Australia.txt"
"AST","澳大利亚","莫尔兹比港","Port Moresby","7","#F58C08","Emu Empire","11","16","胜利点最高","阿洛陶(1); 达鲁(1)","3","base","4329","3","","所属地区manpower","718000","523","巴布亚","Papua","rural","2","0.0","29","AST","澳大利亚","Emu Empire","","PNG","","land","jungle","true","australia","4","48,102,83","5101.84","9.50","500.00","1.57","0.20","no","","0","0","","{""air_base"": 3, ""infrastructure"": 1}","{""naval_base"": 4}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\523-New Guinea.txt"
"AST","澳大利亚","瓜达尔卡纳尔","Guadalcanal","7","#F58C08","Emu Empire","12","16","胜利点最高","布因(1)","2","base","1269","3","","所属地区manpower","150000","634","所罗门群岛","Solomon Islands","large_island","3","0.0","14","AST","澳大利亚","Emu Empire","","SOL","","land","jungle","true","australia","4","6,39,200","5284.24","10.50","493.15","1.57","0.48","no","","0","0","","{""infrastructure"": 1}","{""naval_base"": 2}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\634-Solomon Islands.txt"
"AST","澳大利亚","拉包尔","Rabaul","7","#F58C08","Emu Empire","13","16","胜利点最高","","1","base","7251","5","","所属地区manpower","345640","737","俾斯麦群岛","Bismarck","large_island","3","0.0","16","AST","澳大利亚","Emu Empire","","PNG","","land","jungle","true","australia","4","90,18,161","5175.48","9.84","579.00","1.57","0.18","no","","0","0","","{""air_base"": 1, ""infrastructure"": 1}","{""naval_base"": 5}","GER:辛普森港","GER:Simpsonhafen","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\737-New Britain.txt"
"AST","澳大利亚","莱城","Lae","7","#F58C08","Emu Empire","14","16","胜利点最高","","3","base","12237","3","","所属地区manpower","359000","979","威廉皇帝领地","Kaiser-Wilhelmsland","rural","2","0.0","15","AST","澳大利亚","Emu Empire","","PNG","","land","mountain","true","australia","4","174,144,182","5094.66","10.71","544.00","1.57","0.20","no","","0","0","","{""air_base"": 1, ""infrastructure"": 1}","{""naval_base"": 2}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\979 - Kaiser Wilhelms Land.txt"
"AST","澳大利亚","马当","Madang","7","#F58C08","Emu Empire","15","16","用户规则：大国/空旷国家补点","","3","base","12154","2","","所属地区manpower","359000","979","威廉皇帝领地","Kaiser-Wilhelmsland","rural","2","0.0","15","AST","澳大利亚","Emu Empire","","PNG","","land","mountain","true","australia","4","174,54,167","5076.27","11.35","561.00","1.57","0.28","no","","0","0","","{""air_base"": 1, ""infrastructure"": 1}","{""naval_base"": 1}","GER:弗里德里希-威廉港","GER:Friedrich - Wilhelmshafen","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\979 - Kaiser Wilhelms Land.txt"
"AST","澳大利亚","韦瓦克","Wewak","7","#F58C08","Emu Empire","16","16","用户规则：大国/空旷国家补点","","3","base","12240","1","","所属地区manpower","359000","979","威廉皇帝领地","Kaiser-Wilhelmsland","rural","2","0.0","15","AST","澳大利亚","Emu Empire","","PNG","","land","jungle","true","australia","4","174,147,147","5044.58","10.19","588.00","1.57","0.28","no","","0","0","","{""air_base"": 1, ""infrastructure"": 1}","{""naval_base"": 1}","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\979 - Kaiser Wilhelms Land.txt"
